id,screenName,tags,friends
965272975,HRTgeek,['#nationaldogday'],"['20106852', '194398917', '1316271104', '754930749720055808', '160743744', '53047484', '43042353', '1378000488', '487736815', '2425231', '147305691', '4563323801', '4625687418', '62513246', '3165817215', '22238401', '295443572', '117233736', '20015311', '18384223', '239172505', '368276033', '527526077', '214413743', '116757352']"
735742410,MiaEspinoza23,['#nationaldogday'],"['788735324', '3319969391', '706894054014001152', '2695082323', '128599569', '3403138204', '3435109216', '3303293865', '108771559', '30973', '2765132257', '688583', '1611635503', '1396698397', '382402366', '2685837290', '267305045', '39596022', '12378512', '1239313056', '635053388', '2316464970', '1705991035', '423906225', '344472457', '2329626888', '443216748', '389238190', '73171449', '308759071', '572900518', '61003804', '163730859', '60050843', '308297673', '363961928', '379408088', '45494617', '405728790', '330705266', '1906234147', '278328390', '98199951', '64929124', '5771302', '67418441', '1204567627', '40076725', '1187647735', '57578518', '599503952', '88287364', '26180278', '489746004', '32959253', '310072711', '140195719', '434504967', '148779151', '115085879', '77872778', '55130619', '170237115', '25108168', '46832898', '43403778', '70054190', '16193578', '81132251', '35540353', '153297135', '65548276', '454287398', '25365536', '100425564', '19679461', '18454999', '32791568', '139539038', '24190981', '127084807', '219049532', '351951741', '233183631', '236699098', '251962516', '19741660', '87781747', '180949358', '2367911', '23043294', '72459514', '374291691', '393488321', '524657792', '98288395', '138600827', '53012043', '15419652', '33130960', '612009655', '436411543', '435525090', '139739511', '157140968', '365082205', '17087270', '196795202', '16098642', '14622632', '583183207', '361632165', '613297929', '16679529', '21622407', '19679611', '488242107', '19743731', '34507480', '79650494', '23375688', '343544824', '27260086']"
21764166,kleegrubaugh,['#nationaldogday'],"['1198570398', '374212227', '375266631', '4047931276', '602326074', '918169628', '2330662620', '578535913', '97009960', '278611419', '20009204', '1368478189', '3396143585', '2466807613', '111778335', '14964429', '1389824197', '215990674', '2920629492', '1375053553', '455394184', '97285407', '24439201', '19554219', '418395255', '250331436', '3303507079', '4819538573', '32327154', '24212955', '19370031', '196025335', '267787253', '489987418', '38126110', '24311291', '270055627', '15066876', '864081109', '4060522877', '736225154590777345', '635464700', '3097169659', '2859827501', '762792021492895749', '748132126478958592', '2858886167', '15238700', '62829146', '32189132', '2567237953', '626152233', '1051396218', '24568660', '17622705', '236928181', '193978434', '823112684', '845996948', '18235613', '2437010239', '3288381352', '21581475', '72509949', '156771786', '104063340', '88703900', '3219461544', '48120914', '842378744', '238666005', '760239025', '4294742414', '1173685621', '482274576', '3154125441', '3011540220', '1379584350', '2421067430', '47448886', '15837659', '38813274', '23283299', '195092201', '61122731', '238384492', '1618628058', '20508720', '225265639', '249918934', '631445137', '259395895', '1424259144', '37291805', '15210284', '142412280', '2712571328', '81438841', '2608652665', '180885750', '14469996', '15433452', '4070788392', '16045956', '28178127', '453319164', '1759181', '34371118', '2906630002', '2433368935', '377129602', '352739551', '20094138', '21316253', '17881467', '91127293', '82673602', '251627765', '125375423', '813311743', '59331128', '233842454', '16425419', '9830752', '17194257', '1332558948', '1942570267', '138141495', '1917731', '423561145', '16079089', '2898258020', '291831562', '1099542679', '2161447400', '34116023', '18244206', '172145144', '7702542', '1394399438', '306848694', '3998221213', '167414897', '39510422', '16491569', '16068266', '18653221', '45190383', '20545835', '34927577', '2926128044', '537904539', '39930469', '19024627', '17158189', '82282572', '2314105303', '91273455', '15363308', '378054350', '2900781590', '15741036', '561310591', '747552781', '725801370754801665', '17877451', '287413569', '1132189957', '287163355', '2984727962', '14412533', '2467791', '428333', '759251', '15224867', '17074440', '20608910', '50325797', '3110353779', '178555145', '3496653913', '16326882', '30959927', '341602491', '26278305', '17486092', '2932668827', '57215100', '16490787', '17393362', '195019820', '56149176', '903879397', '24721390', '30771049', '19914257', '138416662', '2471373595', '18868201', '49217766', '981858932', '1715591142', '520938512', '342894187', '322735335', '149913262', '41410702', '326255267', '311989458', '3060489838', '887660666', '2526588174', '130945778', '7848802', '2604459826', '950531', '17914526', '261330050', '17939636', '256184059', '553276371', '3343531092', '38264092', '65931246', '334988425', '911782056', '26760308', '16125224', '22429979', '18686907', '76438819', '21822121', '130649891', '17874544', '95731075', '42790254', '1543986138', '17955706', '627830911', '108617810', '104850722', '470311095', '15012486', '100250921', '34109146', '265990224', '16147260', '18020589', '4917092018', '2177442220', '100480088', '942868836', '184860130', '1407855932', '902306761', '576623689', '338291677', '22095997', '487636923', '709553806309199872', '218325695', '1689882661', '302081333', '1732270064', '449588356', '26159579', '2397141279', '2184024872', '983915190', '2257405560', '42562446', '26270913', '374138602', '17214683', '15027207', '2149651044', '24431556', '376388082', '10207502', '2887988203', '28758060', '889115678', '1497568382', '158286198', '17061263', '16557087', '287871693', '88494677', '815493158', '14367719', '389094655', '32896052', '3407914685', '111138017', '93637779', '13018052', '64066859', '750016262', '22956220', '16787084', '16259228', '24236494', '547163541', '49988878', '17614200', '195271137', '90480218', '384910109', '1428659995', '14842061', '17835794', '22171033', '236487888', '23974861', '86174088', '16006592', '309535454', '912598626', '166329578', '5741722', '20295763', '24752003', '109034782', '53606937', '6393032', '16887628', '21121491', '2361224263', '1408003598', '16734909', '952112047', '30561781', '499266305', '53524514', '1433943116', '257939371', '140640762', '845743333', '3631292532', '2227540266', '334211333', '712321196', '346762328', '604010080', '255734349', '105901883', '489475164', '791964055', '14662354', '194615561', '40737415', '571135299', '26900055', '937704163', '69903037', '53544165', '4440569482', '21573210', '23967651', '346924655', '582927693', '902596597', '21348880', '788352756', '18209323', '15700729', '1963571004', '1601118390', '33409429', '392047970', '17537467', '480520254', '190260040', '73099646', '35110153', '2417586104', '292929271', '21888595', '727472528', '1090556088', '85144671', '453537985', '2828638911', '60763202', '111832673', '347976255', '539566673', '23259606', '4860633803', '76966092', '4049454617', '1899052010', '120891179', '3242715859', '27943433', '50073507', '20378448', '15302774', '9532402', '21431618', '2577562226', '26344615', '65981979', '842580410', '21097079', '629482056', '69190453', '1446408937', '618134181', '2799588421', '261431332', '20369095', '491461409', '109297816', '413495031', '54067035', '111912589', '182441611', '1129574192', '80039675', '27877874', '18903971', '67657700', '12044602', '48012011', '284264215', '121846437', '18315727', '16101182', '138977055', '233484761', '455764741', '1053236226', '2255182597', '21771686', '719276823809540096', '708522042', '100235408', '1548489476', '57338175', '171632862', '393469195', '240107748', '1669492729', '396158429', '23330730', '240112167', '11616202', '333431313', '46176168', '35218566', '39959975', '558360059', '550702200', '46537726', '2845849081', '537327467', '731132367058968576', '14925128', '283194963', '2207780696', '2996533537', '704386349562994688', '93069110', '18678924', '3427200023', '3079631781', '250743117', '23257405', '33864842', '705060931487686656', '732374863315271680', '720281941908463616', '756075224', '1607353381', '703394778675875844', '223083302', '76615174', '28162211', '3010492622', '797557909', '17983365', '542550562', '3083467741', '14760559', '620451650', '557444210', '61015562', '343041182', '90651198', '18916432', '33750798', '16349648', '603708824', '2934273813', '460848476', '750703231', '288629888', '290097255', '551644827', '559977174', '450919703', '44832407', '450062327', '701190716479840256', '232901331', '632985793', '195964116', '4276531', '2505217933', '493798148', '116568327', '2535966295', '15766082', '2927016225', '633674091', '355144150', '1356992605', '149315713', '4005375497', '38021361', '116835497', '525653834', '4311371968', '2464756524', '16843460', '544686866', '249368015', '19850687', '19999714', '573056468', '15890094', '18098932', '21827845', '235791649', '2773068746', '2449650492', '566608157', '2897022418', '577337789', '965259182', '1548183698', '930566035', '128561701', '2935608063', '1689378834', '3065496601', '26459660', '494895846', '2734687134', '54096689', '2443823527', '1433427858', '7597712', '20602461', '2409084032', '1480852568', '21343653', '738680648', '701825647', '144570961', '467726691', '7789342', '312480764', '352462668', '395944861', '1112604732', '529548712', '70468535', '4874675475', '95713333', '930911977', '43583486', '799257301', '18956073', '4429709805', '19173608', '14587949', '260936816', '15464697', '21861371', '59674605', '2827005524', '2800581040', '35051304', '3222839432', '2474500518', '116341480', '887905129', '14529929', '64088396', '3006081057', '18956212', '88784440', '38740252', '2638042382', '1862610973', '2922928743', '30864583', '15782399', '20476979', '15450996', '16467567', '354990034', '31464977', '2790966686', '136102085', '70962235', '74572369', '432895323', '67293615', '1012186134', '14275291', '294852352', '23202843', '107229597', '168531961', '122226401', '353060311', '331059968', '3291753758', '1010244590', '885680401', '721594102303690753', '338159612', '2560983060', '5644772', '15297452', '550708707', '17652603', '16193222', '3162853197', '41758974', '84457849', '520011678', '2660331383', '1431873422', '26618468', '14268812', '19173787', '21155483', '305189255', '28882005', '15184162', '12612432', '34434801', '343772856', '433851538', '2988785197', '295171830', '36529101', '1078589707', '14844867', '109441206', '91479145', '183767243', '25239139', '15633677', '17023392', '805602769', '16570573', '3300205033', '22440812', '57819134', '280664117', '2599057032', '2302134816', '2316246829', '705890784319377409', '17372211', '1500129642', '98471035', '49140008', '16841073', '130684893', '18087749', '50044510', '17091571', '252398355', '2316003960', '203226736', '118845216', '2559111110', '436121104', '2391736202', '190905427', '117082566', '38484359', '122455671', '16366471', '86177206', '14730894', '18247062', '37972057', '414240278', '334715818', '15146659', '860807707', '379962842', '13301812', '100638300', '14465607', '130294479', '4430663661', '158769098', '193785644', '577172810', '545547725', '15722673', '90649593', '2178922148', '254732884', '23195603', '78523300', '60921067', '23970102', '1516626181', '455027468', '2993377468', '313099625', '3470996714', '2902585625', '15601251', '129951156', '30011335', '38495835', '121402638', '3017752532', '315878798', '15283484', '1489479500', '20243128', '17528683', '35062313', '20958510', '79258361', '1372786812', '17800215', '22509548', '237348797', '217543151', '343171266', '93241358', '120181792', '2386014535', '711823841274830849', '182265955', '356199275', '359403242', '86364947', '611350965', '1358290958', '1947303967', '29465136', '197496309', '3793446134', '792660210', '457712573', '1050111', '62815642', '310424310', '20733972', '18208120', '462104542', '234022257', '114859756', '13023332', '339832905', '291513513', '233933230', '40116885', '101395252', '3052099927', '1884374228', '1370971824', '2865078826', '2902031256', '33186808', '553871022', '371555781', '208083510', '15650882', '168541923', '1379288282', '15669672', '44653060', '35347079', '1146358172', '437877779', '614627531', '466864852', '14173315', '118245138', '27689907', '95463107', '192935478', '46002396', '45591955', '234540332', '640893', '14989516', '16930489', '20748745', '71627462', '18089606', '19084896', '4569690923', '23245909', '19923144', '65647594', '16097702', '205771054', '45236541', '248829112', '15731368', '24703447', '280704663', '17995040', '25073877', '44945327', '15745368', '65691824', '1163838673', '16117304', '3390731', '4923811', '60680268', '14728168', '1383097530', '11134252', '507731256', '817845968', '15898172', '14276734', '16072676', '15513604', '890891', '48459553', '91882544', '48176112', '55075301', '88890284', '846493376', '15515169', '5781452', '703775046', '15918708', '82687751', '30720072', '29216764', '20957491', '8824902', '3135241', '16906530', '18983793', '39308549', '23022687', '1180379185', '27382597', '129879105', '122207745', '9508922', '885149478', '48029066', '31540671', '103060329', '182824991', '191613738', '457984599', '107125748', '147725246', '21301913', '262326533', '204386512', '18805644', '11611052', '17564591', '14346303', '21020467', '16007460', '15335534', '8559342', '16459482', '21010214', '86129724', '21313053', '16032925', '14855994', '22703645', '37764422', '218975278', '223970563', '113758100', '19417492', '17546958', '166990746', '28587919', '110445334', '237403203', '46681100', '56413858', '15075999', '205441601', '10774652', '5577902', '15936009', '73402979', '247723476', '16588111', '348559702', '27500565', '17461978', '469194846', '216881337', '14602259', '13218102', '1074480192', '510526745', '371465104', '51241574', '6017542', '16828262', '14335880', '270412323', '25101996', '381108914', '19553409', '47739450', '69773058', '112047805', '1367531', '50055701', '14669951', '10168082', '27744185', '733751245', '334053327', '36452050', '28628850', '14839147', '27311044', '22178780', '783214', '18498684', '15976697', '25041297', '269552973', '119135103', '79758113', '81172502', '40329236', '24342206', '18371803', '135108504', '113047940', '17078632', '179245596', '22047070', '342887079', '58379000', '41634520', '118756393', '15731751', '15856366', '17454769', '18646108', '25916881', '20707966', '18791763']"
22803032,alexmilleraudio,['#nationaldogday'],"['632340157', '502281810', '534664088', '23456995', '101308591', '612155334', '172118221', '59949396', '36072985', '39364684', '405078673', '234521957', '256659585', '65448844', '790136510', '75296671', '180821354', '106233617', '196925561', '111409543', '14417563', '158414847', '620574529', '39095494', '18228898', '16873241', '24470282', '21362105', '110509537', '44030337', '807608628', '314792669', '450416605', '1000262514', '15138534', '130997057', '248758771', '297047872', '412712649', '17377526', '221412285', '16700766', '43950575', '500042487', '19753537', '16729297', '60818204', '19073101', '17795282', '26565946', '25513845', '124335068', '36686415', '16182307', '31344021', '145291640', '59325073', '172446152', '58528137', '4582231', '6211972', '32156068', '20355988']"
716685447053881344,BeeTheDreamer1,['#nationaldogday'],"['25410786', '249909822', '20685809', '260674089', '450941584', '121835294', '2897938046', '1378000488', '325265546', '21772816', '1306564723', '2711891275', '744454819285442560', '1037661248', '189033329', '2912975164', '3012832506', '26758076', '4056697709', '15205838', '2857574543', '2287441748', '2658517250', '1155742734', '2604197498', '54628383', '166791746', '321523435', '22520465', '14360757', '1368281100', '3010644932', '28384064', '425162472', '40329561', '115070524', '394408255', '278575175', '1053769566', '212322460', '3243321731', '2192615545', '3712145183', '456805707', '35359529', '30547859', '66376773', '707489030', '2393126580', '1972166641', '119159738', '14342018', '347685287', '2828483824', '1183155162', '56911316', '25037710', '857137476', '2315734417', '45256755', '250146814', '74648901', '19703081', '1921935475', '2975378291', '2342030562', '116984789', '18743187', '8312862', '9340912', '486869565', '4331862916', '3449336860', '322878215', '245519220', '3053013179', '29133284', '22280292', '117102031', '370419168', '204336765', '451752103', '754523844', '3248418114', '79336711', '61855047', '2170265519', '16144298', '1916901', '164707774', '3328648199', '194209267', '121055566', '2857819820', '15898172', '35863655', '126406790', '2849193612', '90510113', '3022434069', '63301261', '3195726300', '201367201']"
838868876,hdm7598,['#nationaldogday'],"['361565284', '2567011059', '3303647274', '1012499353', '734481960291192832', '4756109254', '96226202', '318838493', '325655146', '4920814595', '139869817', '117495450', '3111190772', '14498484', '141944292', '1432138212', '19083469', '26257166', '3105440746', '17936793', '17919972', '2506480195', '141021153']"
300523803,_ThrasherC,['#nationaldogday'],"['95610041', '1026896634', '4527672513', '543589865', '2851001812', '1851963848', '25700429', '14516065', '860533052', '3974680222', '50004938', '304679484', '18114639', '17070938', '58360124', '898815373', '2371330921', '853329224', '111182379', '394216985', '3237398164', '35472060', '367438262', '310720054', '480160016', '33379390', '185449401', '33936681', '3033984587', '2987702083', '1146357859', '19835035', '241382835', '371361879', '2881365356', '2358848610', '274206165', '244796620', '480577832', '22781679', '586032653', '14681605', '2805362030', '52507949', '1152540691', '945220710', '36999881', '177345928', '31578704', '67418441', '362639639', '112662696', '36443100', '407904917', '126400767', '102269229', '31331740', '17949565', '43736146', '23043294', '38395458', '20106852', '289595500', '92204251', '30544925', '33454142', '144076256', '78989693', '23235056', '166747718', '150490233']"
764447336,Katie_Peddle,['#nationaldogday'],"['528117020', '2305821942', '249921880', '3386064567', '50004938', '1650644791', '2395789098', '22184426', '2610263815', '443753520', '266336410', '90570778', '1468571624', '2193607094', '482658470', '3073572286', '2871633346', '284441324', '109667281', '2221394253', '1360098198', '131102007', '365823722', '551149727', '611959284', '244498663', '524962944', '1442421373', '602188858', '45947741', '251873156', '320297405', '87299430', '271661216', '766441321', '278326374', '336437662', '933055692', '248536182', '1596105337', '543589865', '1321207034', '19154824', '1188445056', '834370320', '95023423', '18745729', '191713253', '132774626', '18064372', '19737638', '93042301', '27947088', '28206390', '14920785', '14791251', '485182129']"
2873608771,Danked_Fridays,['#nationaldogday'],"['57968701', '2725500535', '948140532', '730017194386567169', '2724735906', '15134093', '427152140', '23291748', '2587680230', '215990674', '470489295', '1579121034', '2744902664', '3303078113', '2930374635', '66240539', '19569136', '1363859462', '29223684', '14993804', '85124669', '3430255060', '2350318927', '14297098', '743628836235968512', '109313722', '1951862624', '115679415', '231023430', '238767753', '205957912', '250335913', '263317397', '334706995', '3002412724', '229335572', '6108862', '484999518', '308997977', '279612469', '52753409', '27439619', '776101190', '29096061', '2589212653', '63627909', '741194701', '424326821', '284682595', '2907794736', '1669095234', '1093004334', '218257109', '1710801594', '2232033499', '1072742528', '596372224', '857619919', '286233279', '17947981', '3268450075', '472132412', '153966123', '5548212', '176314157', '473285651', '2610985152', '259666947', '2234152951', '631029361', '705047213156782080', '2788658816', '460728762', '167781199', '229385617', '1015416452', '2642634558', '27031710', '310914988', '383753674', '44197057', '14481746', '49876550', '22607674', '2615258005', '8071902', '28830480', '289324557', '3032797273', '1543144483', '2727536126', '2283186620', '1499708690', '3250195010', '4147865833', '245270949', '405767114', '705576077398142976', '2363440260', '17907265', '1375130095', '2424289652', '2626411257', '28484970', '14503196', '216230667', '766071379', '877666716', '105044868', '948488467', '783705', '22209201', '2422770984', '353672532', '216558300', '2260502354', '2731589470', '2808344306', '3280932013', '65130553', '222272539', '268607705', '2174226169', '18858027', '706178540', '15857005', '1305488773', '543787174', '2637943344', '2969951573', '2881695195', '483771071', '200751709', '125233653', '234470696', '3004893892', '1212604386', '4050000916', '4333108453', '2395996238', '357668606', '17881816', '97155079', '192287918', '2313729012', '1441481508', '2324177720', '1704926844', '32135630', '1706584910', '160047813', '4105570637', '1242566886', '896243527', '2500796599', '1663027820', '133769431', '19341224', '2252069544', '76966092', '142445186', '87403396', '1186430460', '173413459', '22547610', '2409511567', '114881283', '170772657', '2865729339', '600197134', '2735383877', '42912883', '524773429', '459985977', '1457256890', '2919650476', '559375276', '521017945', '2733242731', '3341911817', '2479053392', '327519692', '2567779489', '3065130097', '18830338', '2878846962', '3343725700', '953210450', '414153036', '91433689', '3245070880', '297090581', '16289542', '2814566099', '33014441', '1635931706', '256290551', '3241675502', '57502510', '1102815116', '86584390', '2283159746', '470556983', '2422012555', '262968243', '267500833', '979696386', '2357088818', '565660852', '16275044', '433888526', '2361826866', '520314699', '398658384', '2961101728', '2325739370', '2831860789', '2862517236', '270453961', '39221671', '15444539', '182493733', '2863249328', '1442266819', '3225945317', '1066086217', '300478439', '25883188', '457973298', '2433813229', '18782063', '2784764369', '213090644', '222189121', '1654198970', '89302617', '3014436959', '84020674', '731293177', '316593969', '3049165681', '1434534536', '170900539', '3026319718', '1241782441', '2851178843', '885105865', '17739062', '55074948', '94395054', '20621761', '412914400', '3236333414', '22330236', '16438898', '22216521', '27453762', '485977203', '298484176', '259387703', '2258218458', '314111713', '1960789190', '20653236', '19730048', '3131475615', '205360046', '23818581', '2295217322', '2841481948', '1178037067', '75899857', '83421914', '437650573', '3129532802', '81774795', '165951929', '2732309005', '18747558', '3370123223', '320432933', '2787945801', '239255306', '228023870', '555307309', '2932938625', '48935222', '1874245267', '1403330635', '519740916', '15209135', '1282354970', '360844323', '256090039', '1107790842', '464867175', '2623640399', '2775783768', '22865546', '182384817', '471138249', '483413836', '2416860835', '2842213120', '1929677846', '585868534', '326380075', '2418979002', '1612009542', '85653101', '2415765410', '383041034', '32974914', '2555627401', '24950674', '353278971', '1649738754', '172397445', '2793018356', '584146722', '2288909144', '729508760', '2285744808', '2871787893', '344187737', '624376674', '2538173294', '114161917', '202336075', '805833182', '302231807', '225403195', '187923237', '2548263246', '219496700', '22611082', '111513055', '2389031281', '40530952', '975480486', '382376904', '33585235', '931978454', '529022626', '2350110991', '20162248', '18672145', '1201710146', '89040826', '767002579', '723490698', '112924655', '103550181', '472409354', '2985613542', '344264904', '2738681858', '1720123909', '119886310', '2915233442', '487256024', '451636774', '64857767', '53027967', '201646052', '2742947221', '14400622', '2432716338', '826111892', '2708052181', '383685824', '7111412']"
1671868136,obiole_,['#respecttylerjoseph'],"['4618472536', '192326624', '4193355973', '728693284629925888', '226559403', '1215919944', '4686897342', '94704800', '4035503243', '745467652307464192', '17139812', '2720668146', '105296447', '726464337510981633', '4414071152', '3184291140', '45709328', '1387754724', '2306667821', '3252651503', '145291640', '754759933116223488', '2982720461', '287805677', '4870432208', '4107664444', '2956355988', '1658544842', '2659978688', '701814480557232129', '2664225709', '500042487', '146944733', '3960629783', '554510636', '2893511188', '57385263', '480930665', '17844280', '2858124461', '3945972795', '4153417894', '2974974455', '59325073', '221412285', '2151813909', '2452168328', '39956893', '215460886', '174540176', '1180826496', '30258062', '3383224859', '502442268', '568825492', '281766200', '23065354', '779979493', '16712746', '509239965', '249855157', '184934309', '48377987', '145468530', '2336504169', '18734884', '154489593', '436187029', '1420382180', '2730913875', '434156771', '1080387726', '398707707', '27970832', '546071599', '16686105', '169740780', '27930140', '16264006', '37710752', '19373710', '67995848', '42428797', '7831092', '14622632', '129928264', '24502450', '268719454', '18198841', '15986551', '21626728', '150041309', '604947474', '17230018', '20785288', '18253727', '55184723', '39389304', '21955058', '18253340', '21705931', '251908418', '82030021', '16409285', '6761682', '245157986', '16213013', '29300489', '22596730', '122482029', '18378446', '122451685', '15801445', '19088665', '266336410', '91408245', '1569024350', '14631115', '40059553']"
